,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
54,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.1,86,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
55,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,1,70,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
56,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,5,63,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
57,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,10,57,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
58,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,50,43,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
59,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,100,40,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
60,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,250,38,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
61,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,500,30,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
62,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
63,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,2,75,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
64,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,5,25,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
65,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,10,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
66,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,20,8,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
67,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,50,2,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
68,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
69,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,2,70,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
70,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,5,20,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
71,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,10,18,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
72,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,20,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
73,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,50,18,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
74,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,100,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
75,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,25,70,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
76,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,50,60,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
77,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,100,22,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
78,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,200,15,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
79,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,25,60,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
80,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,50,48,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
81,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,100,20,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
82,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,200,10,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
83,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,25,55,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
84,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,50,40,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
85,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,100,18,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
86,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,200,5,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
87,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,20,100,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
88,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,40,60,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
89,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,60,55,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
90,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,80,20,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
91,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,20,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
92,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,40,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
93,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,60,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
94,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,80,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
95,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,20,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
96,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,40,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
97,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,60,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
98,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,80,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
99,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,0.97,114.4508671,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
100,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,1.95,104.0462428,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
101,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,3.9,102.8901734,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
102,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,7.8,95.95375723,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
103,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,15.625,94.79768786,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
104,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,31.25,91.32947977,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
105,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,62.5,93.06358382,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
106,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,125,87.86127168,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
107,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,250,40.46242775,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
108,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,500,23.12138728,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
109,HeLa,MTT,Au,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,1000,20.80924855,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
110,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,12,0.1,98.97540984,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
111,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,12,1,93.85245902,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
112,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,12,10,84.83606557,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
113,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,12,100,60.6557377,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
114,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,24,0.1,90.88114754,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
115,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,24,1,78.48360656,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
116,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,24,10,63.93442623,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
117,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,24,100,53.48360656,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
118,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,48,0.1,85.55327869,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
119,HepG2,XTT,Ag,additional,Human,Human,epithelial,liver,Carcinoma,48,1,60.04098361,80,-15.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
